,,,,MSC25:MEF75/MSC75:MEF25,MSC50:MEF50/MSC75:MEF25,MSC25:MEF75/MSC50:MEF50,,,,,,
Reactome pathways,number,overUnder,pvalue,fdr,fdr,fdr,,,,,,
Metabolism of proteins (R-HSA-392499),65,+,6.42E-01,9.25E-01,1.52E+00,3.49E+00,,,,,,
Immune System (R-HSA-168256),54,+,5.52E-01,8.84E-01,9.17E-01,1.00E+00,,,,,,
Signal Transduction (R-HSA-162582),51,+,9.25E-01,9.66E-01,9.26E-01,9.93E-01,,,,,,
Metabolism (R-HSA-1430728),50,+,3.08E-01,6.64E-01,8.89E-01,9.93E-01,,,,,,
Post-translational protein modification (R-HSA-597592),39,-,8.38E-01,9.34E-01,9.54E-01,2.40E+00,,,,,,
Innate Immune System (R-HSA-168249),33,+,2.31E-01,1.01E+00,7.80E-01,1.00E+00,,,,,,
Developmental Biology (R-HSA-1266738),31,+,2.98E-01,9.40E-01,7.84E-01,1.11E+00,,,,,,
Vesicle-mediated transport (R-HSA-5653656),31,+,7.33E-01,9.36E-01,8.79E-01,1.62E+00,,,,,,
Extracellular matrix organization (R-HSA-1474244),25,+,1.42E-01,1.13E+00,9.72E-01,1.01E+00,,,,,,
Membrane Trafficking (R-HSA-199991),25,+,7.09E-01,9.41E-01,7.87E-01,1.10E+00,,,,,,
Disease (R-HSA-1643685),24,-,6.95E-01,9.38E-01,9.41E-01,9.42E-01,,,,,,
Neutrophil degranulation (R-HSA-6798695),23,+,3.93E-01,7.58E-01,9.38E-01,1.03E+00,,,,,Analysis Type:,PANTHER Enrichment Test (release 20181003)
Axon guidance (R-HSA-422475),23,+,4.12E-01,7.72E-01,9.83E-01,1.02E+00,,,,,Annotation Version and Release Date:,Reactome version 65 Released 2018-06-12
Hemostasis (R-HSA-109582),22,-,7.75E-01,9.29E-01,8.84E-01,1.03E+00,,,,,Analyzed List:,test.txt (Homo sapiens)
Degradation of the extracellular matrix (R-HSA-1474228),18,+,9.20E-02,1.31E+00,1.44E+00,9.92E-01,,,,,Correction:,FDR
Signaling by Receptor Tyrosine Kinases (R-HSA-9006934),16,+,6.81E-02,1.34E+00,6.70E-01,1.00E+00,,,,,,
Adaptive Immune System (R-HSA-1280218),16,-,2.91E-01,9.20E-01,7.45E-01,1.00E+00,,,,,,
"Platelet activation, signaling and aggregation (R-HSA-76002)",16,+,9.50E-01,9.79E-01,7.68E-01,9.37E-01,,,,,,
Cytokine Signaling in Immune system (R-HSA-1280215),16,-,9.70E-01,9.91E-01,8.69E-01,1.00E+00,,,,,,
Transport of small molecules (R-HSA-382551),15,-,6.47E-02,1.40E+00,8.94E-01,9.86E-01,,,,,,
Signaling by Rho GTPases (R-HSA-194315),15,+,5.72E-01,9.04E-01,8.23E-01,1.12E+00,,,,,,
Post-translational protein phosphorylation (R-HSA-8957275),15,-,7.03E-01,9.44E-01,8.33E-01,1.04E+00,,,,,,
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) (R-HSA-381426),15,-,7.03E-01,9.42E-01,8.31E-01,9.81E-01,,,,,,
Gene expression (Transcription) (R-HSA-74160),14,-,5.26E-02,1.22E+00,9.29E-01,1.04E+00,,,,,,
ECM proteoglycans (R-HSA-3000178),14,+,2.11E-01,9.78E-01,9.02E-01,1.65E+00,,,,,,
Asparagine N-linked glycosylation (R-HSA-446203),14,+,5.91E-01,9.14E-01,8.89E-01,4.00E+00,,,,,,
Translation (R-HSA-72766),14,+,7.12E-01,9.45E-01,6.62E-01,1.62E+00,,,,,,
Platelet degranulation  (R-HSA-114608),14,+,8.18E-01,9.21E-01,7.80E-01,1.00E+00,,,,,,
Response to elevated platelet cytosolic Ca2+ (R-HSA-76005),14,+,8.18E-01,9.19E-01,7.78E-01,1.02E+00,,,,,,
Integrin cell surface interactions (R-HSA-216083),13,+,1.05E-02,7.04E+00,1.30E+00,1.45E+00,,,,,,
Generic Transcription Pathway (R-HSA-212436),13,-,6.52E-02,1.37E+00,9.50E-01,1.28E+00,,,,,,
RNA Polymerase II Transcription (R-HSA-73857),13,-,6.52E-02,1.33E+00,6.70E-01,1.04E+00,,,,,,
Apoptosis (R-HSA-109581),13,-,2.55E-01,1.01E+00,6.68E-01,9.92E-01,,,,,,
Programmed Cell Death (R-HSA-5357801),13,-,2.55E-01,1.00E+00,7.82E-01,1.04E+00,,,,,,
Metabolism of amino acids and derivatives (R-HSA-71291),13,+,3.91E-01,7.57E-01,7.80E-01,1.04E+00,,,,,,
Metabolism of carbohydrates (R-HSA-71387),13,-,7.68E-01,9.28E-01,8.64E-01,9.88E-01,,,,,,
Metabolism of RNA (R-HSA-8953854),13,-,8.02E-01,9.20E-01,9.21E-01,1.01E+00,,,,,,
Collagen formation (R-HSA-1474290),12,+,3.10E-01,6.65E-01,7.51E-01,1.10E+00,,,,,,
Signaling by Interleukins (R-HSA-449147),11,-,3.70E-01,7.24E-01,9.67E-01,1.12E+00,,,,,,
Apoptotic execution phase (R-HSA-75153),11,-,4.18E-01,7.79E-01,7.22E-01,1.13E+00,,,,,,
Apoptotic cleavage of cellular proteins (R-HSA-111465),11,-,4.18E-01,7.77E-01,7.68E-01,1.10E+00,,,,,,
Metabolism of lipids (R-HSA-556833),11,+,4.26E-01,7.88E-01,8.78E-01,1.02E+00,,,,,,
Muscle contraction (R-HSA-397014),11,-,6.42E-01,9.26E-01,9.23E-01,9.74E-01,,,,,,
Cell Cycle (R-HSA-1640170),11,-,6.67E-01,9.19E-01,9.21E-01,1.01E+00,,,,,,
RHO GTPase Effectors (R-HSA-195258),11,+,7.90E-01,9.32E-01,9.90E-01,1.02E+00,,,,,,
